fy,fx,m,x,y,phi,t
0.0,-10.0,-3.0,-0.0422905,-0.22039,-0.0011083755255949235,0.6730475425720215
0.0,-10.0,-2.0,-0.0421928,-0.145775,-0.0007387343303631128,0.5785167217254639
0.0,-10.0,-1.0,-0.0421361,-0.0725549,-0.0003691892892397337,0.529069185256958
0.0,-10.0,0.0,-0.0421175,8.00744e-13,3.139999974467451e-07,0.4356088638305664
0.0,-10.0,1.0,-0.0421361,0.0725549,0.00036981662071518246,0.557988166809082
0.0,-10.0,2.0,-0.0421928,0.145775,0.0007393623249193718,0.5429790019989014
0.0,-10.0,3.0,-0.0422905,0.22039,0.0011090008503785698,0.5321104526519775
0.5,-10.0,-3.0,-0.270765,9.63284,-0.0011099054709686168,0.8205225467681885
0.5,-10.0,-2.0,-0.26747,9.57523,-0.0007086596451507867,1.040241003036499
0.5,-10.0,-1.0,-0.26735,9.57879,-0.00030975996944205013,0.7516765594482422
0.5,-10.0,0.0,-0.270234,9.64045,8.854666053213902e-05,0.7543668746948242
0.5,-10.0,1.0,-0.276184,9.76042,0.00048792659541760846,1.561767578125
0.5,-10.0,2.0,-0.285505,9.94221,0.0008901261348682102,0.7497565746307373
0.5,-10.0,3.0,-0.298791,10.1931,0.0012973584072153129,1.4825506210327148
1.0,-10.0,-3.0,-0.955966,19.2485,-0.0012513443450617944,0.6590845584869385
1.0,-10.0,-2.0,-0.940233,19.1036,-0.0007565260179879392,0.6510045528411865
1.0,-10.0,-1.0,-0.936705,19.0763,-0.00027034647984938416,0.6661596298217773
1.0,-10.0,0.0,-0.944843,19.1621,0.00021389333007143456,0.6799540519714355
1.0,-10.0,1.0,-0.964976,19.3631,0.0007026332177048408,0.6435682773590088
1.0,-10.0,2.0,-0.998347,19.6871,0.0012027919514415394,0.7296445369720459
1.0,-10.0,3.0,-1.04729,20.1489,0.0017232159966930319,0.8202698230743408
2.0,-10.0,-3.0,-3.51591,37.4371,-0.0017679279555443475,0.9016392230987549
2.0,-10.0,-2.0,-3.47176,37.2331,-0.0009264657839486851,0.8242945671081543
2.0,-10.0,-1.0,-3.47191,37.2453,-0.00010853333290717825,0.8747224807739258
2.0,-10.0,0.0,-3.51607,37.4729,0.0007111332134574761,0.9417140483856201
2.0,-10.0,1.0,-3.60734,37.9272,0.0015581966613130791,0.9127306938171387
2.0,-10.0,2.0,-3.75274,38.6323,0.002462788453333026,0.8545448780059814
2.0,-10.0,3.0,-3.96434,39.6283,0.003464432019553153,0.8575444221496582
3.0,-10.0,-3.0,-7.11985,53.2479,-0.002306523092313691,1.0275249481201172
3.0,-10.0,-2.0,-7.24178,53.7211,-0.0009762663565080299,1.1898925304412842
3.0,-10.0,-1.0,-7.28177,53.8719,0.0003560666516188753,1.2261228561401367
3.0,-10.0,0.0,-7.41528,54.331,0.0017139293698366696,1.1962800025939941
3.0,-10.0,1.0,-7.65346,55.1262,0.003157508104902812,1.178823709487915
3.0,-10.0,2.0,-8.01665,56.3053,0.004761579889903897,1.1496341228485107
3.0,-10.0,3.0,-8.5427,57.9561,0.006634423366181086,1.1681184768676758
4.0,-10.0,-3.0,-11.8514,68.4081,-0.0027406488422094953,1.0624511241912842
