Ay,Ax,B,ux_fea3d,uy_fea3d,phi_fea3d,t_fea3d,ux_fea2d,uy_fea2d,phi_fea2d,t_fea2d,ux_euler,uy_euler,phi_euler,t_euler,ux_guided,uy_guided,phi_guided,t_guided,ux_prb,uy_prb,phi_prb,t_prb,ux_prb_opt,uy_prb_opt,phi_prb_opt,t_prb_opt,ux_bcm,uy_bcm,phi_bcm,t_bcm,ux_linear,uy_linear,phi_linear,t_linear
0.0,-10.0,-3.0,-0.0001719344,0.000482292,0.0005521832113735389,37.35422897338867,-0.00016916200000000002,-0.00088156,-0.0011083755255949235,0.6730475425720215,0.0,-4.6333159741449135e-17,-8.5600651100149e-17,1.4134550000017043,0.0,0.0,0.0,0.03145720000611618,0.0,0.0,0.0,1.1099997209385037e-05,0.0,0.0,0.0,9.199997293762863e-06,-0.0001666666666666667,0.0,-0.0005555555555555556,2.0199993741698563e-05,0.0,0.0,0.0,3.000008291564882e-06
0.0,-10.0,-2.0,-0.0001718612,0.000320898,0.000368114883334939,36.71698188781738,-0.0001687712,-0.0005830999999999999,-0.0007387343303631128,0.5785167217254639,0.0,-4.7342485589431296e-17,-9.118980150526964e-17,1.421438199991826,0.0,0.0,0.0,0.0039490000053774565,0.0,0.0,0.0,4.49999060947448e-06,0.0,0.0,0.0,3.4999975468963385e-06,-0.0001666666666666667,0.0,-0.00037037037037037035,7.599999662488699e-06,0.0,0.0,0.0,1.2999953469261527e-06
0.0,-10.0,-1.0,-0.0001718288,0.0001601604,0.0001840581026850023,41.99638319015503,-0.00016854440000000002,-0.0002902196,-0.0003691892892397337,0.529069185256958,0.0,-1.4711068974366823e-23,-1.919738788589301e-23,1.5604434999986552,0.0,0.0,0.0,0.003409299999475479,0.0,0.0,0.0,6.50000583846122e-06,0.0,0.0,0.0,2.0000006770715117e-06,-0.0001666666666666667,0.0,-0.00018518518518518518,3.9000005926936865e-06,0.0,0.0,0.0,5.00003807246685e-07
0.0,-10.0,0.0,-0.0001718356,-2.5827880000000005e-07,5.806473341763282e-09,34.14135932922363,-0.00016847000000000002,3.2029759999999998e-15,3.139999974467451e-07,0.4356088638305664,0.0,2.059582674647271e-18,2.2403568616183792e-18,1.4889288999984274,0.0,0.0,0.0,0.004954400006681681,0.0,0.0,0.0,2.1000014385208488e-06,0.0,0.0,0.0,1.300009898841381e-06,-0.0001666666666666667,0.0,0.0,3.300010575912893e-06,0.0,0.0,0.0,5.00003807246685e-07
0.0,-10.0,1.0,-0.0001718288,0.0001601604,0.0001840581026850023,35.29677176475525,-0.00016854440000000002,0.0002902196,0.00036981662071518246,0.557988166809082,0.0,-9.496015680006814e-25,-1.2287501929443836e-24,1.4715159000043059,0.0,0.0,0.0,0.003688699987833388,0.0,0.0,0.0,1.4999968698248267e-06,0.0,0.0,0.0,1.6999983927235007e-06,-0.0001666666666666667,0.0,0.00018518518518518518,3.6999990697950125e-06,0.0,0.0,0.0,3.00002284348011e-07
0.0,-10.0,2.0,-0.0001718612,0.000320898,0.000368114883334939,36.58373212814331,-0.0001687712,0.0005830999999999999,0.0007393623249193718,0.5429790019989014,0.0,1.6247311100739822e-17,1.6262754594154584e-17,1.387927399991895,0.0,0.0,0.0,0.003763600005186163,0.0,0.0,0.0,1.400010660290718e-06,0.0,0.0,0.0,1.300009898841381e-06,-0.0001666666666666667,0.0,0.00037037037037037035,3.500012098811567e-06,0.0,0.0,0.0,4.00003045797348e-07
0.0,-10.0,3.0,-0.0001719344,0.000482292,0.0005521832113735389,37.38219380378723,-0.00016916200000000002,0.00088156,0.0011090008503785698,0.5321104526519775,0.0,-2.0717400050461457e-18,-1.903735051626767e-18,1.3696462999942014,0.0,0.0,0.0,0.0034196000051451847,0.0,0.0,0.0,1.1999945854768157e-06,0.0,0.0,0.0,1.2999953469261527e-06,-0.0001666666666666667,0.0,0.0005555555555555556,3.2999960239976645e-06,0.0,0.0,0.0,3.9998849388211966e-07
0.5,-10.0,-3.0,-0.001149668,0.03998432,0.0006920350496726771,84.61539244651794,-0.0010830599999999998,0.03853136,-0.0011099054709686168,0.8205225467681885,-0.0010739724881558832,0.04200822146188908,-4.1247039892635534e-05,2.8185253999981796,-0.0010641995294905504,0.04183110860318918,0.0,0.0030644999933429062,-0.00016841334495799114,0.01693655598835328,0.0,0.00022230000467970967,-0.00022768764675332732,0.0202431697738159,0.0,0.00015029999485705048,-0.001220734126984127,0.041666666666666664,-0.0005056997721928277,3.40001133736223e-06,0.0,0.020833333333333332,0.0,3.00002284348011e-07
0.5,-10.0,-2.0,-0.001132444,0.03963108,0.0004917052164461293,40.829771757125854,-0.00106988,0.038300919999999995,-0.0007086596451507867,1.040241003036499,-0.0010666836171858707,0.04188686136997952,-2.5148045981009822e-05,2.9425106000126107,-0.0010641995294905504,0.04183110860318918,0.0,0.003942399998777546,-0.00016841334495799114,0.01693655598835328,0.0,9.940000018104911e-05,-0.00022768764675332732,0.0202431697738159,0.0,8.450000314041972e-05,-0.001220734126984127,0.041666666666666664,-0.0003067359273956496,3.3999967854470015e-06,0.0,0.020833333333333332,0.0,3.00002284348011e-07
0.5,-10.0,-1.0,-0.0011187,0.03934108,0.00029209795312303965,39.95777249336243,-0.0010693999999999999,0.03831516,-0.00030975996944205013,0.7516765594482422,-0.0010635418353389658,0.04183290077971247,-8.737629855476048e-06,2.8264093000034336,-0.0010641995294905504,0.04183110860318918,0.0,0.003116399995633401,-0.00016841334495799114,0.01693655598835328,0.0,7.739999273326248e-05,-0.00022768764675332732,0.0202431697738159,0.0,7.989999721758068e-05,-0.001220734126984127,0.041666666666666664,-0.0001077720825984715,3.7999998312443495e-06,0.0,0.020833333333333332,0.0,4.999892553314567e-07
